issue_date,song_name,artist_name_basket,similarity
20151001,Ah-Choo,러블리즈,0.6157907652134854
20120628,Loving U (러빙유),씨스타,0.5904164202457235
20130410,좋아 (JOAH),박재범,0.584112412794465
20140714,Darling,걸스데이,0.5723223015936115
20180117,Roller Coaster,청하,0.571095148901592
20161020,"All I Wanna Do (K) (Feat. Hoody, Loco)",박재범,0.5673901563626417
20170822,가시나,선미,0.5481509678620252
20110809,So Cool (쏘쿨),씨스타,0.5454146777605157
20160525,자격지심 (Feat. 은하 Of 여자친구),박경,0.5395906406415137
20180718,Love U,청하,0.5365406825890162
20170607,Why Don`t You Know (Feat. 넉살),청하,0.5307448924342757
20170918,DNA,방탄소년단,0.521904498768702
20190412,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,0.5198077993431505
20170502,"지금, 우리",러블리즈,0.5178925801974805
20150226,오빠야,신현희와김루트,0.5170977224987507
20100812,A,레인보우,0.5164804229740054
20140721,Touch My Body,씨스타,0.516421393266632
20090721,Abracadabra,브라운아이드걸스,0.5158278764272444
20101209,좋은 날,아이유,0.5138915323706487
20170512,맞지?,언니쓰,0.5134849036146565
20150622,SHAKE IT,씨스타,0.5128330522924214
20190102,벌써 12시,청하,0.5115369196067122
20170306,MOVIE,비투비,0.5101817289849442
20160704,아주 NICE,세븐틴,0.5101817289849441
20180118,주인공,선미,0.5074891837564406
20170522,울고 싶지 않아,세븐틴,0.506873589129449
20110601,별빛달빛,시크릿,0.5051278185611073
20100701,Bad Girl Good Girl,미쓰에이,0.5038816464359699
20130422,봄봄봄,로이킴,0.5035984631252527
20161221,좋다고 말해,볼빨간사춘기,0.5028930387773369
20130314,기대해,걸스데이,0.500907853675398
20170607,HAPPY,우주소녀,0.4966141226892972
20110705,Bubble Pop!,현아,0.49502526218988524
20110629,Roly-Poly,티아라,0.4942523489451253
20170829,베베 (BABE),현아,0.4942523489451253
20170104,너에게 닿기를 (I Wish),우주소녀,0.4942523489451253
20170213,봄날,방탄소년단,0.4938434171993715
20150921,보통연애 (Feat. 박보람),박경,0.49116201366640977
20150312,Apple (Feat. 박재범),가인,0.49095945230918103
20180524,여행,볼빨간사춘기,0.4880780987441982
20130404,Love Blossom (러브블러썸),케이윌,0.48785327759145025
20110721,내꺼하자,인피니트,0.4877642568991058
20110318,반짝반짝,걸스데이,0.486567322456996
20120515,추격자,인피니트,0.48656732245699597
20160526,WINDY DAY,오마이걸,0.4863438010999223
20160825,목요일 밤 (Feat. 빈지노),어반자카파,0.4855021637740173
20111107,Be My Baby,원더걸스,0.48549159759556515
20080603,So Hot,원더걸스,0.4848603403491985
20150707,링마벨 (Ring My Bell),걸스데이,0.48350773266370956
20080922,Nobody,원더걸스,0.48151792438015817
20080714,U-Go-Girl (With 낯선),이효리,0.4812718695151932
20161010,피 땀 눈물,방탄소년단,0.4795926258594237
20160502,불타오르네 (FIRE),방탄소년단,0.4780089717611235
20180904,사이렌 (Siren),선미,0.477388008603239
20160801,어때?,현아,0.4753715291925075
19961100,Bus 안에서,자자,0.47516198913608504
20120314,LOVE DAY,"양요섭', '정은지",0.4747126632775415
20150717,My Last (Feat. 로꼬 & GRAY),박재범,0.4733143902452742
20030712,니가 참 좋아,쥬얼리,0.4726275980563565
20160702,"호랑나비 (Feat. Gill, 리듬파워, 김흥국)",보이비,0.47160267318346977
19960000,천생연분,솔리드,0.4716026731834697
20170517,처음부터 너와 나,볼빨간사춘기,0.4710672380064279
20180910,불꽃놀이 (Remember Me),오마이걸,0.46978406075383455
20160621,I Like That,씨스타,0.46821228504881357
19980400,왜불러,디바,0.4681221630826506
20021002,Sweet Dream,장나라,0.4680847706446162
20150910,만세,세븐틴,0.4668396022540982
20160425,예쁘다,세븐틴,0.46549406411572786
20180518,FAKE LOVE,방탄소년단,0.4648228161259261
20170603,Oh Little Girl,슬레이트,0.4644017808799911
20150412,어머님이 누구니 (Feat. 제시),박진영,0.462018500100878
20000324,Tears,소찬휘,0.46138624121389726
20190805,BUNGEE (Fall in Love),오마이걸,0.460276503955934
20171124,MIC Drop (Steve Aoki Remix) (Feat. Desiigner),방탄소년단,0.460276503955934
20160829,우주를 줄게,볼빨간사춘기,0.45970459505630484
20190624,Snapping,청하,0.4582846877350669
20080220,One More Time,쥬얼리,0.4582773980434493
19950000,잘못된 만남,김건모,0.4582773980434493
20170928,썸 탈꺼야,볼빨간사춘기,0.4577586395890581
20150522,몸매 (MOMMAE) (Feat. Ugly Duck),박재범,0.4568876284059755
20000417,Dash,백지영,0.45679247321835464
20110106,샤이보이,시크릿,0.4550189595183115
20131220,금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,0.45477847911067404
20110906,STEP,카라,0.4545027722171248
20140818,너를 좋아하니까,뷰티핸섬,0.4545027722171248
20160318,말해! 뭐해?,케이윌,0.4545027722171248
20110104,Supa Dupa Diva,달샤벳,0.45385671251283466
20170710,선물,멜로망스,0.4533430092214307
20150303,안녕 (Hi~),러블리즈,0.4526207650762754
20100603,잔소리 (With 2AM 슬옹),아이유,0.45245626542880146
20090713,냉면,명카드라이브,0.45242530683570514
20100603,Push Push (푸시 푸시),씨스타,0.45177863378929156
20140602,"걷자, 집앞이야 (Feat. 주예인)",스무살,0.45159157421902746
20080916,어쩌다,브라운아이드걸스,0.4513561055353343
20160705,Why So Lonely,원더걸스,0.4513561055353343
20090515,좋아해,"요조', '김진표",0.45134939187383877
20060720,비행기,거북이,0.4513493918738387
19970301,말해줘,지누션,0.4512738838194623
20180824,IDOL,방탄소년단,0.45127388381946226
